Name,Age,Team,Position
Hindrich Otto,22,CFR Cluj,GK
Popa Mihai,24,CFR Cluj,GK
Borbei Alexandru,21,CFR Cluj,GK
Gal Rares,24,CFR Cluj,GK
Pinzariu Mihai,20,CFR Cluj,GK
Racasan Mihai,17,CFR Cluj,GK
Abeid Aly,27,CFR Cluj,DF
Bolgado Leonardo,26,CFR Cluj,DF
Camora Mario,38,CFR Cluj,DF
Graovac Daniel,31,CFR Cluj,DF
Iacob Flavius,24,CFR Cluj,DF
Ilie Matei,22,CFR Cluj,DF
Kresic Anton,29,CFR Cluj,DF
Mogos Vasile,32,CFR Cluj,DF
Rocha Simao,24,CFR Cluj,DF
Avram Costel,22,CFR Cluj,DF
Peteleu Andrei,32,CFR Cluj,DF
Sinyan Sheriff,28,CFR Cluj,DF
Djokovic Damjan,34,CFR Cluj,MF
Fica Alin,23,CFR Cluj,MF
Filip Robert,22,CFR Cluj,MF
Keita Kader,24,CFR Cluj,MF
Name Moustapha,29,CFR Cluj,MF
Sfait Andres,20,CFR Cluj,MF
Tachtsidis Panagiotis,33,CFR Cluj,MF
Gligor Razvan,18,CFR Cluj,MF
Tirlea Alexandru,24,CFR Cluj,MF
Deac Ciprian,38,CFR Cluj,FW
Juric Stipe,26,CFR Cluj,FW
Kamara Mohammed,27,CFR Cluj,FW
Korenica Meriton,28,CFR Cluj,FW
Munteanu Louis,22,CFR Cluj,FW
Nkololo Beni,28,CFR Cluj,FW
Paun Adrian,29,CFR Cluj,FW
Postolachi Virgiliu,24,CFR Cluj,FW
Tarnovanu Stefan,24,FCSB,GK
Udrea Mihai,23,FCSB,GK
Popa M.,?,FCSB,GK
Zima Lukas,31,FCSB,GK
Chiriches Vlad,35,FCSB,DF
Dawa Joyskim,28,FCSB,DF
Kiki David,31,FCSB,DF
Ngezana Siyabonga,27,FCSB,DF
Pantea Alexandru,21,FCSB,DF
Popescu Mihai,31,FCSB,DF
Radunovic Risto,32,FCSB,DF
Manolache Matei,18,FCSB,DF
Ciobanu Luca,19,FCSB,DF
Dancus Andrei,16,FCSB,DF
Padurariu Ricardo,17,FCSB,DF
Alhassan Baba,25,FCSB,MF
Baeten William,28,FCSB,MF
Baluta Alexandru,31,FCSB,MF
Cretu Valentin,36,FCSB,MF
Edjouma Malcom,28,FCSB,MF
Gheorghita Andrei,22,FCSB,MF
Lixandru Mihai,23,FCSB,MF
Musi Alexandru,20,FCSB,MF
Popescu Octavian,22,FCSB,MF
Sut Adrian,25,FCSB,MF
Tanase Florin,30,FCSB,MF
Toma Mihai,17,FCSB,MF
Birligea Daniel,24,FCSB,FW
Cisotti Juri,31,FCSB,FW
Miculescu David,23,FCSB,FW
Olaru Darius,26,FCSB,FW
Stefanescu Marius,26,FCSB,FW
Stoian Alexandru Constantin,17,FCSB,FW
Necsulescu Robert,17,FCSB,FW
Popescu Laurentiu,28,Universitatea Craiova,GK
Lung Jr. Silviu,35,Universitatea Craiova,GK
Stoian Relu Marian,28,Universitatea Craiova,GK
Badelj Juraj,21,Universitatea Craiova,DF
Bancu Nicusor,32,Universitatea Craiova,DF
Lopez Iago,25,Universitatea Craiova,DF
Maldonado Denil,26,Universitatea Craiova,DF
Ndong Basilio,26,Universitatea Craiova,DF
Screciu Vladimir,25,Universitatea Craiova,DF
Zajkov Gjoko,30,Universitatea Craiova,DF
Gaspar Florin,17,Universitatea Craiova,DF
Pacurar Marcus,19,Universitatea Craiova,DF
Capatina Mihai,29,Universitatea Craiova,MF
Cicaldau Alexandru,27,Universitatea Craiova,MF
Houri Lyes,29,Universitatea Craiova,MF
Mekvabishvili Anzor,23,Universitatea Craiova,MF
Oshima Takuto,26,Universitatea Craiova,MF
Baiaram Stefan,22,Universitatea Craiova,FW
Bana Stefan,20,Universitatea Craiova,FW
Barbu David,18,Universitatea Craiova,FW
Lukic Jovo,26,Universitatea Craiova,FW
Mitrita Alexandru,30,Universitatea Craiova,FW
Mora Carlos,23,Universitatea Craiova,FW
Paradela Luis,28,Universitatea Craiova,FW
Pelegrini Safira Alisson,29,Universitatea Craiova,FW
Alisson Safira,29,Universitatea Craiova,FW
Ninaci Mihai,16,Universitatea Craiova,FW
Gertmonas Edvinas,28,Universitatea Cluj,GK
Lefter Stefan,20,Universitatea Cluj,GK
Moldovan Denis,20,Universitatea Cluj,GK
Boboc Radu,25,Universitatea Cluj,DF
Cristea Lucian,30,Universitatea Cluj,DF
Lasure Briz Daniel,30,Universitatea Cluj,DF
Masoero Lucas,30,Universitatea Cluj,DF
Mitrea Bogdan,37,Universitatea Cluj,DF
Oancea Dorinel,27,Universitatea Cluj,DF
Simion Gabriel Bogdan,26,Universitatea Cluj,DF
Stefan Andrei,22,Universitatea Cluj,DF
van der Werff Jasper,26,Universitatea Cluj,DF
Opris Stefan,18,Universitatea Cluj,DF
Artean Andrei,31,Universitatea Cluj,MF
Bic Ovidiu,30,Universitatea Cluj,MF
Bota Alexandru,16,Universitatea Cluj,MF
Chipciu Alexandru,35,Universitatea Cluj,MF
Codrea Dorin,27,Universitatea Cluj,MF
Nistor Dan Nicolae,36,Universitatea Cluj,MF
Oaida Razvan,26,Universitatea Cluj,MF
Popescu Ovidiu,30,Universitatea Cluj,MF
Rata Vadim,31,Universitatea Cluj,MF
Silaghi Robert,22,Universitatea Cluj,MF
Bettaieb Adel,28,Universitatea Cluj,FW
Blanuta Vladislav,23,Universitatea Cluj,FW
Miranyan Artur,29,Universitatea Cluj,FW
Thiam Mamadou,29,Universitatea Cluj,FW
